creation_date,category_id,description,deadline,title,address,budget,latitude,longitude,customer_id,worker_id,location_id,status
2020-02-20,2,Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst.,2019-11-15,enable impactful technologies,1 Eagan Crossing,6587,6.9641667,158.2083333,11,,1,0
2020-02-19,3,"Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus.Curabitur at ipsum ac tellus semper interdum. Mauris ullamcorper purus sit amet nulla. Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam.",2019-12-07,exploit revolutionary portals,24043 Paget Alley,2904,5.623505,10.2544044,12,1,2,0
2020-02-10,2,"Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi.Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque.Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus.",2019-11-23,matrix next-generation e-commerce,2867 Dryden Pass,1170,63.593219,53.9068532,13,2,3,2
2020-02-17,1,"Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem.Fusce consequat. Nulla nisl. Nunc nisl.",2019-11-10,benchmark plug-and-play infomediaries,80 Cambridge Street,838,20.5800358,-75.2435307,14,3,4,0
2020-02-01,3,"Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.",2019-12-15,integrate cross-platform e-business,1 Stone Corner Junction,7484,14.9326574,-91.6941845,15,4,5,2
2018-11-01,7,"Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus.",2019-11-24,enable dot-com niches,12 Stephen Terrace,5725,40.163127,116.638868,16,5,6,0
2019-09-13,5,"Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem.",2019-11-19,transform web-enabled relationships,,4414,,,17,,,0
2019-04-01,8,"Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat.Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede. Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem.",2019-11-14,strategize frictionless solutions,994 Corry Park,3454,-7.3251485,108.3607464,18,,8,2
2019-03-28,4,"Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",2019-12-12,innovate seamless metrics,2 Bluestem Park,3101,43,-87.97,19,,9,0
2019-05-01,4,"Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque.",2019-12-19,integrate wireless infomediaries,1 Dexter Hill,6562,41.3410168,-8.3169303,20,,10,0
